,datadate,turbulence
970,2019-05-09,135.8366364869023
971,2019-05-10,135.24731332514202
972,2019-05-13,140.50573851235688
973,2019-05-14,128.77496947781285
974,2019-05-15,123.72431577569478
975,2019-05-16,124.19956853005091
976,2019-05-17,120.64101882131351
977,2019-05-20,128.47838220342007
978,2019-05-21,104.65530811899572
979,2019-05-22,93.66256411458524
980,2019-05-23,84.79948387567501
981,2019-05-24,83.57734111996504
982,2019-05-28,85.50165110416864
983,2019-05-29,82.17778079249678
984,2019-05-30,80.13136145078253
985,2019-05-31,84.84094192280897
986,2019-06-03,82.41454452584561
987,2019-06-04,76.43358124128758
988,2019-06-05,75.90908021520777
989,2019-06-06,68.15291543124397
990,2019-06-07,68.88001819893961
991,2019-06-10,80.94882872721709
992,2019-06-11,86.16279292369849
993,2019-06-12,76.11852789223035
994,2019-06-13,74.86925002972426
995,2019-06-14,71.6226079198706
996,2019-06-17,76.67088653663436
997,2019-06-18,75.23046308518825
998,2019-06-19,74.5225569830056
999,2019-06-20,66.16746733083453
1000,2019-06-21,62.57719101269392
1001,2019-06-24,63.61586301325464
1002,2019-06-25,58.28634696875162
1003,2019-06-26,52.665946148049905
1004,2019-06-27,45.05412691103695
1005,2019-06-28,48.698096837660465
1006,2019-07-01,57.81892476454023
1007,2019-07-02,53.19347319332433
1008,2019-07-03,53.97638780340977
1009,2019-07-05,49.207178021559585
1010,2019-07-08,57.35692162501856
1011,2019-07-09,60.445424800234434
1012,2019-07-10,54.24181421200959
1013,2019-07-11,71.0915360167144
1014,2019-07-12,82.60009995319804
1015,2019-07-15,77.04042607921428
1016,2019-07-16,75.96475929911415
1017,2019-07-17,69.90665969088037
1018,2019-07-18,74.99882691589629
1019,2019-07-19,70.84003659243446
1020,2019-07-22,83.6677506311418
1021,2019-07-23,101.57861950809625
1022,2019-07-24,99.16161300785744
1023,2019-07-25,78.79477670641666
1024,2019-07-26,88.90555416263405
1025,2019-07-29,75.57959500707685
1026,2019-07-30,83.68633139069077
1027,2019-07-31,70.43422068070372
